job_title_clean,industry_clean,position_ID
Research And Instruction Librarian,Education (Higher Education),1
Change And Internal Communications Manager,Computing Or Tech,2
Marketing Specialist,"Accounting, Banking And Finance",3
Program Manager,Nonprofits,4
Accounting Manager,"Accounting, Banking And Finance",5
Scholarly Publishing Librarian,Education (Higher Education),6
Publishing Assistant,Publishing,7
Librarian,Education (Primary/Secondary),8
Systems Analyst,Computing Or Tech,9
Senior Accountant,"Accounting, Banking And Finance",10
Officer Manager,Nonprofits,11
Deputy Title Ix Coordinator/ Assistant Director Office Of Equity And Diversity,Education (Higher Education),12
Manager Of Information Services,"Accounting, Banking And Finance",13
Legal Aid Staff Attorney,Law,14
Rn Patient Care Coordinator,Health Care,15
Quality And Compliance Specialist,Utilities And Telecommunications,16
Executive Assistant,Business Or Consulting,17
Graphic Designer,Art And Design,18
Senior Manager,Business Or Consulting,19
Assistant Director Of Academic Advising,Education (Higher Education),20
Data Programmer Analyst,Health Care,21
Program Coordinator And Assistant Editor,Nonprofits,22
Events Planner,Nonprofits,23
Researcher,Government And Public Administration,24
Teen Librarian,Public Library,25
Communications Specialist,Education (Higher Education),26
Program Director,Nonprofits,27
Bookkeeper/Billing Manager,Law,28
Economist,Government And Public Administration,29
Research Engineer,Engineering Or Manufacturing,30
Volunteer And Giving Coordinator,Nonprofits,31
Editor,Media And Digital,32
Financial Advisor,"Accounting, Banking And Finance",33
Administrative And Hr Manager,Nonprofits,34
Senior IRB Analyst,Education (Higher Education),35
Reporter,Media And Digital,36
Senior Administrator ,"Accounting, Banking And Finance",37
Staff Services Manager,Government And Public Administration,38
Receptionist,"Accounting, Banking And Finance",39
Lead Engineer,Engineering Or Manufacturing,40
Senior Copywriter,"Marketing, Advertising And Pr",41
Manager Of Data Integrity And Prospect Research,Government And Public Administration,42
Principle Cyber Software Engineer,Computing Or Tech,43
Intelligence Analyst,Computing Or Tech,44
Project Manager,Nonprofits,45
Mobile Developer,Computing Or Tech,46
Director Product Design,Computing Or Tech,47
Engineering Specialist,Engineering Or Manufacturing,48
Total Rewards Manager,Retail,49
Research And Development Engineer,Education (Higher Education),50
Science Teacher (Public High School),Education (Primary/Secondary),51
"Senior Manager, Programmatic","Marketing, Advertising And Pr",52
Managed Services Sales Coordinator,Computing Or Tech,53
Water Resources Engineer,Engineering Or Manufacturing,54
Program Officer,Government And Public Administration,55
Account Supervisor,Business Or Consulting,56
Legal Secretary,Law,57
Policy Lead,Government And Public Administration,58
Coordinator,Education (Higher Education),59
Senior Advisor,Government And Public Administration,60
Safety Director,Property Or Construction,61
Secondary School Educator,Education (Primary/Secondary),62
Downstream Process Development Research Associate,Biotechnology,63
Research Programmer,Education (Higher Education),64
"Manager, Natural Climate Solutions Development",Nonprofits,65
Ar Manager,Health Care,66
Technical Specialist,Computing Or Tech,67
